ID,Name,Latitude,Longitude,Phone,Email,Address,Web,Categoria
98185,The Madrid Edition,40.418273900000,-3.706468100000,(+34) 914 36 13 82,,"de las Descalzas, s/n",http://www.esmadrid.com/alojamientos/madrid-edition,alojamientos
97833,Oxygen Hostel,40.403528800000,-3.692084400000,+34 686 81 12 61,oxygenmadrid19@gmail.com,"Rafael Riego, 19",http://www.esmadrid.com/alojamientos/oxygen-hostel,alojamientos
97799,Canopy by Hilton Madrid Castellana ,40.451381600000,-3.693585400000,+34 911 44 04 45,,"Carlos Trías Bertrán, 4",http://www.esmadrid.com/alojamientos/canopy-hilton-madrid-castellana,alojamientos
97373,"Atocha Hotel Madrid, Tapestry Collection by Hilton",40.410605900000,-3.695301100000,+34 610 44 01 15,tapestryatocha@hilton.com,"Atocha, 107",http://www.esmadrid.com/alojamientos/atocha-hotel-madrid-tapestry-collection-hilton,alojamientos
97242,Hard Rock Hotel Madrid,40.406521900000,-3.695527500000,,reservations@hrhmadrid.com,"Ronda de Atocha, 17",http://www.esmadrid.com/alojamientos/hard-rock-hotel-madrid,alojamientos
97202,Hotel Novotel Madrid City Las Ventas ,40.441308900000,-3.657559700000,(+34)91 724 76 00,H0843@ACCOR.COM,"Albacete 1, Esquina Avenida de Badajoz",http://www.esmadrid.com/alojamientos/hotel-novotel-madrid-city-ventas,alojamientos
97116,Pestana CR7 Gran V&iacute;a Madrid,40.419955600000,-3.703284800000,917 71 02 40,guest@pestana.com,"Gran Vía, 29 ",http://www.esmadrid.com/alojamientos/pestana-cr7-gran-madrid,alojamientos
95433,Four Seasons Hotel Madrid,40.417008900000,-3.700388000000,(+ 34) 910 88 33 33,," de Sevilla, 3, ",http://www.esmadrid.com/alojamientos/four-seasons-hotel-madrid,alojamientos
94629,Apartahotel Las Matas Tartesos,40.531696400000,-3.890689000000,(+34) 91 640 00 55,,"Pollensa, 5",http://www.esmadrid.com/alojamientos/apartahotel-matas-tartesos,alojamientos
94628,Hotel Las Gacelas,40.710999500000,-3.994158000000,(34) 918 538 000,reservas@hotel-lasgacelas.com,"de San Sebastián, 53",http://www.esmadrid.com/alojamientos/hotel-gacelas,alojamientos
94627,Apartamentos Plaza de Santiago,40.245518600000,-3.700417400000,(+34) 91 691 55 00,reservas@apartamentosplazadesantiago.com,"de Santiago, 3",http://www.esmadrid.com/alojamientos/apartamentos-plaza-santiago,alojamientos
94626,Apartahotel TH Las Rozas,40.484121100000,-3.856662800000,(34) 916 37 09 00,reservas@thlasrozashotel.com,"Camino Viejo de Madrid, 38",http://www.esmadrid.com/alojamientos/apartahotel-th-rozas,alojamientos
94625,Apartamentos Suites Florida,40.449062300000,-3.582653300000,(34) 91 748 20 21 ,info@apartamentossuitesflorida.es,"Campezo, 2. Pol. Ind. Las Mercedes ",http://www.esmadrid.com/alojamientos/apartamentos-suites-florida,alojamientos
94624,Apartamentos Suites Aeropuerto,40.446415000000,-3.583444300000,(34) 917 48 067,info@apartamentossuitesaeropuerto.es,"Campezo, 8. Pol. Ind. Las Mercedes ",http://www.esmadrid.com/alojamientos/apartamentos-suites-aeropuerto,alojamientos
94622,Tryp Madrid Airport Suites,40.445569200000,-3.543607400000,(34) 913 29 70 50,reservas.tryp.madrid.airport.suites@melia.com,"Lola Flores, 4 - 17",http://www.esmadrid.com/alojamientos/tryp-madrid-airport-suites,alojamientos
94085, Room Mate Macarena,40.420589000000,-3.706897000000,(+34) 900 818 320.,macarena@room-matehotels.com.,"Gran Vía, 43 ",http://www.esmadrid.com/alojamientos/room-mate-macarena,alojamientos
92607,Hotel Riu Plaza Espa&ntilde;a,40.423924002208,-3.711015474118,(+34) 91 919 33 93,reservations.madrid@riu.com,"Gran Vía, 84",http://www.esmadrid.com/alojamientos/hotel-riu-plaza-espana,alojamientos
91946,Bluesock Madrid,40.419516700000,-3.697880200000,(+34) 91 005 29 79,madrid@bluesockhostels.com,"Gran Vía, 6",http://www.esmadrid.com/alojamientos/bluesock-madrid,alojamientos
91932,Aloft Gran V&iacute;a Madrid,40.420307800000,-3.707138700000,(+34) 91 454 95 95,,"de Jacometrezo, 4",http://www.esmadrid.com/alojamientos/aloft-gran-madrid,alojamientos
91856,Pestana Plaza Mayor,40.414766800000,-3.707053600000,(+34) 91 005 28 22,guest@pestana.com,"Imperial, 8",http://www.esmadrid.com/alojamientos/pestana-plaza-mayor,alojamientos
90190,B&amp;B Hotel Madrid Centro Puerta del Sol,40.417564300000,-3.702557900000,(+34) 914 890 591,hotel.puertadelsol@hotelbb.com,"de la Montera, 10 - 12",http://www.esmadrid.com/alojamientos/bb-hotel-madrid-centro-puerta-sol,alojamientos
89775,CoolRooms Atocha,40.413214200000,-3.701095100000,(+34) 91 088 77 80,reservations.atocha@coolrooms.com,"de Atocha, 34",http://www.esmadrid.com/alojamientos/coolrooms-atocha,alojamientos
89653,Heritage Madrid Hotel,40.434877000000,-3.678943800000,(+34) 910 887 070,info@heritagemadridhotel.com,"de Diego de León, 43",http://www.esmadrid.com/alojamientos/heritage-madrid-hotel,alojamientos
89532,Generator Hostel Madrid,40.420798700000,-3.708101900000,(+34) 91 047 98 00,ask.madrid@generatorhostels.com,"de San Bernardo, 2",http://www.esmadrid.com/alojamientos/generator-hostel-madrid,alojamientos
89204,Hotel Icon Casona 1900 by Petit Palace,40.429130941737,-3.685861538827,(+34) 91 156 71 71,casona1900@petitpalace.com,"de Don Ramón de la Cruz, 10",http://www.esmadrid.com/alojamientos/hotel-icon-casona-1900-petit-palace,alojamientos
87984,Poshtel LaNave,40.421914700000,-3.715357600000,(+34) 911 376 329,reservas@lanavehostel.com,"de Cadarso, 19",http://www.esmadrid.com/alojamientos/poshtel-lanave,alojamientos
87832,NH Collection Madrid Gran V&iacute;a,40.419813100000,-3.701277700000,(+34) 91 712 83 05, nhcollectiongranvia@nh-hotels.com,"Gran Vía, 21",http://www.esmadrid.com/alojamientos/nh-collection-madrid-gran,alojamientos
87809,Barcel&oacute; Imagine,40.470196157478,-3.685238510370,(+34) 91 732 70 19,imagine@barcelo.com,"de Agustín de Foxá, 32",http://www.esmadrid.com/alojamientos/barcelo-imagine,alojamientos
87788,Plaza Espa&ntilde;a Skyline by Bemate,40.422468700000,-3.715398000000,(+34) 91 594 71 06,info@bemate.com,"de Cadarso, 18",http://www.esmadrid.com/alojamientos/plaza-espana-skyline-bemate,alojamientos
87606,Gran Hotel Ingl&eacute;s,40.415962500000,-3.699661000000,(+34) 91 056 93 84,welcome@granhotelingles.com,"Echegaray, 8",http://www.esmadrid.com/alojamientos/gran-hotel-ingles,alojamientos
87565,VP Plaza Espa&ntilde;a Design,40.422704185855,-3.711751553711,(+34) 91 595 55 10 ,vp-plaza@vphoteles.com,"de España, 5",http://www.esmadrid.com/alojamientos/vp-plaza-espana-design,alojamientos
87473,Hotel Dome Madrid,40.513148500000,-3.678075400000,(+34) 911 864 989,reservas@hoteldomemadrid.com,"de Fuencarral a Alcobendas, km 8",http://www.esmadrid.com/alojamientos/hotel-dome-madrid,alojamientos
87277,Vitium Urban Suites,40.422417300000,-3.709642800000,(+34) 911 164 144,info@vitium.es,"Gran Vía, 61, 5ª",http://www.esmadrid.com/alojamientos/vitium-urban-suites,alojamientos
86954,Bungalows Camping Alpha Madrid,40.317133566771,-3.688960075378,(+34) 916958069,info@campingalpha.com,de la Calidad,http://www.esmadrid.com/alojamientos/bungalows-camping-alpha-madrid,alojamientos
86753,Hyatt Centric Gran V&iacute;a Madrid,40.419988600000,-3.703756100000,(+34) 918 37 12 34,info.centricmadrid@hyatt.com,"Gran Vía, 31",http://www.esmadrid.com/alojamientos/hyatt-centric-gran-madrid,alojamientos
86464,La Casa de los Horrores,39.938723048330,-3.786463737488,(+34) 91 891 59 23, info@casadeloshorrores.com,de Villamejor,http://www.esmadrid.com/alojamientos/casa-horrores,alojamientos
85114,Axel Hotel Madrid,40.413361264672,-3.700584769249,+ 34 910 88 33 80,madrid@axelhotels.com,"Atocha, 49",http://www.esmadrid.com/alojamientos/axel-hotel-madrid,alojamientos
84730,"Hotel C&iacute;rculo Gran V&iacute;a, Autograph Collection",40.420109700000,-3.700832200000,+ 34 91 521 03 00,circulogranvia@circulogranvia.com,"Gran Vía, 24",http://www.esmadrid.com/alojamientos/hotel-circulo-gran-autograph-collection,alojamientos
82787,Barcel&oacute; Torre de Madrid,40.424369600000,-3.712326200000,(+34) 91 524 23 99,torredemadrid@barcelo.com,"de España, 18",http://www.esmadrid.com/alojamientos/barcelo-torre-madrid,alojamientos
